iteration,total_reward,policy_loss,idm_loss
1 , -187.611306 , 0.158280 , 0.138590
2 , -110.482826 , 0.144683 , 0.143437
3 , -107.149689 , 0.170164 , 0.136921
4 , -122.157656 , 0.150969 , 0.143246
5 , -106.569662 , 0.161607 , 0.140252
6 , -100.697583 , 0.282517 , 0.059866
7 , -45.440117 , 0.155887 , 0.158734
8 , 13.121193 , 0.148229 , 0.076430
9 , -72.164666 , 0.191415 , 0.141897
10 , -0.278361 , 0.207082 , 0.082232
11 , -3.543284 , 0.280093 , 0.122596
12 , 1.306141 , 0.229307 , 0.118454
13 , 1.839736 , 0.231918 , 0.130903
14 , -288.667146 , 0.282242 , 0.344203
