iteration,reward,average_reward
1 , -40.9 , -40.9
2 , -59.1 , -50.0
3 , -63.0 , -54.3
4 , -55.6 , -54.6
5 , -34.0 , -50.5
6 , -39.2 , -48.6
7 , -25.0 , -45.2
8 , -36.8 , -44.2
9 , -28.4 , -42.4
10 , -31.3 , -41.3
11 , -28.6 , -40.2
12 , -20.7 , -38.5
