iteration,reward,average_reward
1 , -77.3 , -77.3
2 , -108.2 , -92.7
3 , -67.2 , -84.2
4 ,  -8.7 , -65.4
5 , -75.7 , -67.4
6 , -53.3 , -65.1
7 , -129.7 , -74.3
8 , -173.4 , -86.7
9 , -98.0 , -87.9
10 , -101.9 , -89.3
11 , -241.1 , -103.1
12 , -197.7 , -111.0
13 ,  27.6 , -100.4
14 , -443.1 , -124.8
15 , -235.2 , -132.2
16 , -399.3 , -148.9
17 , -507.6 , -170.0
18 , -207.9 , -172.1
19 , -491.4 , -188.9
20 , -751.3 , -217.0
21 , -144.5 , -213.6
22 , -66.6 , -206.9
23 , 270.6 , -186.1
24 , -133.0 , -183.9
