iteration,total_reward,policy_loss,idm_loss
1 , -200.000000 , 1.359186 , 1.151821
2 , -200.000000 , 1.573638 , 1.154016
3 , -200.000000 , 2.732610 , 1.152294
4 , -200.000000 , 3.066887 , 1.155436
5 , -200.000000 , 3.367843 , 1.154949
6 , -200.000000 , 0.694889 , 1.101007
