iteration,average_reward,policy_loss,fdm_loss
1 , -251.520244 , 0.518412 , 0.324894
2 , -223.892696 , 0.386401 , 0.222764
3 , -215.850584 , 0.359717 , 0.177090
4 , -100.162043 , 0.383927 , 0.196622
5 , -60.946329 , 0.409770 , 0.166721
6 , -28.406380 , 0.345140 , 0.179493
7 , 17.136691 , 0.296565 , 0.141147
8 , 57.582122 , 0.336901 , 0.150201
9 , -35.021124 , 0.309857 , 0.176217
10 , 73.506003 , 0.339188 , 0.140359
11 , 10.853565 , 0.342290 , 0.170536
12 , 237.455170 , 0.351546 , 0.141241
13 , 166.953179 , 0.271990 , 0.141858
14 , 194.952237 , 0.340127 , 0.123101
15 , 238.396727 , 0.356451 , 0.132738
16 , 234.051465 , 0.309737 , 0.152591
17 , 232.038071 , 0.344893 , 0.131388
18 , 244.712951 , 0.337597 , 0.104254
19 , 257.172348 , 0.355331 , 0.119467
