iteration,reward,average_reward
1 , 165.0 , 165.0
2 ,  23.0 ,  94.0
3 ,  90.0 ,  92.7
4 ,  19.0 ,  74.2
5 ,  70.0 ,  73.4
6 ,  86.0 ,  75.5
7 , 100.0 ,  79.0
8 ,  21.0 ,  71.8
9 ,  73.0 ,  71.9
10 , 173.0 ,  82.0
11 , 153.0 ,  88.5
12 ,  67.0 ,  86.7
13 , 200.0 ,  95.4
14 ,  52.0 ,  92.3
