EpLenMean,EpRewMean,EpThisIter,EpTrueRewMean,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
490.0,490.21365,1,-136.2965917927168,1,1.7017219066619873,490,0.0,2.835037,-0.2195202112197876,0.0062972317,0.011472664,0.011472664
490.0,430.45648,1,-141.99157478600964,2,3.6118075847625732,980,0.0,2.8362327,-0.20582711696624756,0.0072382856,0.003202198,0.003202198
490.0,373.7982,1,-138.75590288631042,3,5.890711784362793,1470,0.0,2.8371587,-0.8511161804199219,0.00014238023,1.9645691e-05,1.9645691e-05
490.0,353.41104,1,-135.0908141916267,4,7.7600812911987305,1960,0.0,2.8372025,-0.6486440896987915,7.6027513e-06,2.0313263e-07,2.0313263e-07
490.0,358.83438,1,-140.69564198768649,5,9.632192611694336,2450,0.0,2.8372054,0.01016610860824585,2.0817517e-06,4.043579e-07,4.043579e-07
490.0,345.5812,1,-139.79527718075323,6,11.484394311904907,2940,0.0,2.837194,-0.02557957172393799,1.0037422e-07,2.4318695e-08,2.4318695e-08
490.0,332.77753,1,-137.72709180255788,7,13.358489036560059,3430,0.0,2.8371942,-0.028676509857177734,1.668334e-07,5.2452087e-09,5.2452087e-09
490.0,322.53705,1,-136.35065298052973,8,15.230999946594238,3920,0.0,2.8372047,-0.010597467422485352,1.2671947e-07,5.4836274e-08,5.4836274e-08
490.0,314.90393,1,-135.55452120703444,9,17.136165380477905,4410,0.0,2.8372047,-0.004842042922973633,7.1525574e-10,-6.198883e-09,-6.198883e-09
490.0,308.32037,1,-134.69918552908388,10,19.035615921020508,4900,0.0,2.8372054,-0.001471877098083496,7.033348e-09,-1.4066696e-08,-1.4066696e-08
490.0,302.53604,1,-134.00220205334375,11,20.949640035629272,5390,0.0,2.8372047,0.0007960200309753418,3.6001204e-08,3.695488e-09,3.695488e-09
490.0,295.68866,1,-133.12508106891158,12,22.868332147598267,5880,0.0,2.8372054,-0.0015960931777954102,3.6120415e-08,-3.194809e-08,-3.194809e-08
490.0,290.47443,1,-132.71191750886467,13,24.757631540298462,6370,0.0,2.837194,0.0009323358535766602,0.008866322,0.0068568345,0.0068568345
490.0,281.69083,1,-135.41450017901366,14,26.602998733520508,6860,0.0,2.8376021,0.039865851402282715,0.009510676,0.0027246878,0.0027246878
490.0,272.15228,1,-141.10792877051716,15,28.460361003875732,7350,0.0,2.8341203,0.3147653341293335,0.0051078205,0.00079261494,0.00079261494
490.0,263.23026,1,-150.20434685364725,16,30.324532508850098,7840,0.0,2.8283067,0.632121741771698,0.00818837,0.0011688569,0.0011688569
490.0,261.1251,1,-152.70713142325997,17,32.259554862976074,8330,0.0,2.8282971,0.16460198163986206,2.078414e-06,3.194809e-08,3.194809e-08
490.0,258.49536,1,-154.8455657817777,18,34.221771478652954,8820,0.0,2.8283525,0.06349307298660278,0.0053564846,0.0012153366,0.0012153366
490.0,258.55304,1,-157.96510841966264,19,36.09498333930969,9310,0.0,2.8292499,-0.03205108642578125,0.00701028,0.0043444745,0.0043444745
490.0,265.3277,1,-163.4925898002943,20,37.95687961578369,9800,0.0,2.828966,0.00011360645294189453,0.007422599,0.0036102487,0.0036102487
490.0,266.5392,1,-179.1221906532276,21,39.848217248916626,10290,0.0,2.8294473,0.006051957607269287,5.76973e-07,3.504753e-08,3.504753e-08
490.0,267.74634,1,-193.34116735591212,22,41.80360436439514,10780,0.0,2.8294415,-0.00038945674896240234,4.0102006e-07,2.9683113e-08,2.9683113e-08
490.0,268.61264,1,-206.58908716072114,23,43.7087767124176,11270,0.0,2.8294377,-6.92605972290039e-05,2.713728e-05,2.9492378e-07,2.9492378e-07
490.0,269.29086,1,-218.57981525607343,24,45.65342116355896,11760,0.0,2.8294413,-0.0004780292510986328,8.869171e-08,3.015995e-08,3.015995e-08
