iteration,reward,average_reward
1 ,  24.0 ,  24.0
2 ,  26.0 ,  25.0
3 , 101.0 ,  50.3
4 ,  31.0 ,  45.5
5 ,  22.0 ,  40.8
6 ,  44.0 ,  41.3
7 ,  30.0 ,  39.7
