
Iteration: 1, reward: -21.0, feedback_rate(/sec): 10.3590434938
Iteration: 82, reward: -7.0, feedback_rate(/sec): 0.0


Iteration: 83, reward: -8.54400374532, feedback_rate(/sec): 0.296247751022


Iteration: 84, reward: -13.6014705087, feedback_rate(/sec): 0.295274922869


Iteration: 85, reward: -9.89949493661, feedback_rate(/sec): 1.190026153


Iteration: 86, reward: -14.4222051019, feedback_rate(/sec): 0.395705332785


Iteration: 87, reward: -15.0332963784, feedback_rate(/sec): 0.0


Iteration: 88, reward: -13.0384048104, feedback_rate(/sec): 0.591204823528


Iteration: 89, reward: -16.4924225025, feedback_rate(/sec): 0.0991496418733


Iteration: 90, reward: -16.5529453572, feedback_rate(/sec): 0.099189739577


Iteration: 91, reward: -10.4403065089, feedback_rate(/sec): 0.888066596638


Iteration: 92, reward: -8.0622577483, feedback_rate(/sec): 0.395164457147


Iteration: 93, reward: -10.0498756211, feedback_rate(/sec): 0.394445029079


Iteration: 94, reward: -16.1554944214, feedback_rate(/sec): 0.197658519514


Iteration: 95, reward: -14.7648230602, feedback_rate(/sec): 0.29727313835


Iteration: 96, reward: -13.8924439894, feedback_rate(/sec): 0.494967125071


Iteration: 97, reward: -8.94427191, feedback_rate(/sec): 0.0984316381508


Iteration: 98, reward: 0, feedback_rate(/sec): 0.0


Iteration: 99, reward: -7.21110255093, feedback_rate(/sec): 0.0


Iteration: 100, reward: -9.0, feedback_rate(/sec): 0.198280492859


Iteration: 101, reward: -20.1246117975, feedback_rate(/sec): 0.0


Iteration: 102, reward: -8.24621125124, feedback_rate(/sec): 0.295414518559


Iteration: 103, reward: -9.0, feedback_rate(/sec): 0.197468197695


Iteration: 104, reward: -9.89949493661, feedback_rate(/sec): 0.0


Iteration: 105, reward: -11.1803398875, feedback_rate(/sec): 0.0


Iteration: 106, reward: -5.0, feedback_rate(/sec): 0.0987836269221


Iteration: 107, reward: -8.0, feedback_rate(/sec): 0.0987660670136


Iteration: 108, reward: -20.1246117975, feedback_rate(/sec): 0.197632325254


Iteration: 109, reward: 0, feedback_rate(/sec): 0.0


Iteration: 110, reward: -97.2008230418, feedback_rate(/sec): 0.0


Iteration: 111, reward: -8.54400374532, feedback_rate(/sec): 0.0


Iteration: 112, reward: -47.2969343615, feedback_rate(/sec): 0.0


Iteration: 113, reward: -4.472135955, feedback_rate(/sec): 0.0982840874903


Iteration: 114, reward: -6.32455532034, feedback_rate(/sec): 0.0


Iteration: 115, reward: -7.0, feedback_rate(/sec): 0.0


Iteration: 116, reward: -18.6815416923, feedback_rate(/sec): 0.197548229254


Iteration: 117, reward: -8.0, feedback_rate(/sec): 0.296188826064


Iteration: 118, reward: -10.6301458127, feedback_rate(/sec): 0.0


Iteration: 119, reward: -12.0415945788, feedback_rate(/sec): 0.493913842186


Iteration: 120, reward: -15.5241746963, feedback_rate(/sec): 0.197569189542


Iteration: 121, reward: -14.8660687473, feedback_rate(/sec): 1.2889006471


Iteration: 122, reward: -6.0827625303, feedback_rate(/sec): 0.198230455883


Iteration: 123, reward: -24.0208242989, feedback_rate(/sec): 0.0


Iteration: 124, reward: -10.6301458127, feedback_rate(/sec): 0.0986306431145


Iteration: 125, reward: -11.0, feedback_rate(/sec): 0.0


Iteration: 126, reward: -8.94427191, feedback_rate(/sec): 0.495235586235


Iteration: 127, reward: -8.60232526704, feedback_rate(/sec): 1.28775575499


Iteration: 128, reward: -7.21110255093, feedback_rate(/sec): 0.0987593159381


Iteration: 129, reward: -14.3178210633, feedback_rate(/sec): 0.0


Iteration: 130, reward: -9.21954445729, feedback_rate(/sec): 0.196900839235


Iteration: 131, reward: -17.4642491966, feedback_rate(/sec): 0.0


Iteration: 132, reward: -10.7703296143, feedback_rate(/sec): 0.492700259623


Iteration: 133, reward: -46.0651712251, feedback_rate(/sec): 0.0


Iteration: 134, reward: -43.5660418216, feedback_rate(/sec): 0.0


Iteration: 135, reward: -81.4677850442, feedback_rate(/sec): 0.0

