iteration,reward,average_reward
1 , -62.4 , -62.4
2 , -55.7 , -59.1
3 , -53.2 , -57.1
4 , -57.7 , -57.3
5 , -59.9 , -57.8
6 , -52.1 , -56.8
7 , -46.9 , -55.4
8 , -42.5 , -53.8
9 , -62.8 , -54.8
10 , -54.8 , -54.8
11 , -43.8 , -53.8
