iteration,total_reward,policy_loss,idm_loss
1 , -291.250434 , 0.214339 , 0.119294
2 , -454.906217 , 0.417410 , 0.038037
3 , -410.170574 , 0.202373 , 0.049909
4 , -175.620012 , 0.245236 , 0.072439
5 , -140.850765 , 0.177490 , 0.044292
6 , -310.852947 , 0.155317 , 0.067285
7 , -258.725346 , 0.171569 , 0.077270
8 , -353.779417 , 0.204187 , 0.114144
9 , -154.190115 , 0.251313 , 0.107494
10 , -301.638310 , 0.205005 , 0.062038
11 , -343.398380 , 0.403094 , 0.075271
12 , -291.093863 , 0.331905 , 0.127430
13 , -46.309098 , 0.357036 , 0.058508
14 , -352.594019 , 0.315928 , 0.103239
15 , -337.451874 , 0.339953 , 0.070536
