iteration,average_reward,feedback_rate
1 , 14.777778 , 0.803571
2 , 16.777778 , 0.625000
3 , 98.666667 , 0.449275
4 , 138.555556 , 0.313433
5 , 200.000000 , 0.134328
6 , 200.000000 , 0.044444
