iteration,average_reward,feedback_rate
1 , -113.407899 , 0.034623
2 , -125.729741 , 0.026477
3 , -91.162552 , 0.048387
4 , -95.925194 , 0.101833
5 , -65.209626 , 0.040733
6 , -38.365967 , 0.012220
7 , -46.469661 , 0.030550
8 , -34.483832 , 0.022403
9 , -76.915645 , 0.046843
10 , -56.908633 , 0.050916
11 , -33.002591 , 0.010183
12 , -40.492828 , 0.000000
13 , -41.512526 , 0.000000
14 , -43.434064 , 0.000000
15 , -38.502840 , 0.000000
16 , -41.565867 , 0.000000
17 , -42.505296 , 0.000000
18 , -41.159400 , 0.000000
19 , -43.685992 , 0.000000
20 , -40.366392 , 0.000000
21 , -44.175581 , 0.000000
22 , -39.377387 , 0.000000
23 , -45.706344 , 0.000000
24 , -41.187849 , 0.000000
25 , -41.624900 , 0.000000
26 , -40.725585 , 0.000000
27 , -42.707606 , 0.000000
28 , -42.809354 , 0.000000
29 , -43.119624 , 0.000000
30 , -38.919169 , 0.000000
31 , -41.001348 , 0.000000
32 , -41.645374 , 0.000000
33 , -44.713566 , 0.000000
34 , -42.136583 , 0.000000
35 , -43.138501 , 0.000000
36 , -43.096287 , 0.000000
37 , -41.475839 , 0.000000
38 , -40.150035 , 0.000000
39 , -39.959904 , 0.000000
40 , -44.234384 , 0.000000
41 , -44.391288 , 0.000000
42 , -41.608228 , 0.000000
43 , -45.642823 , 0.000000
44 , -42.288834 , 0.000000
45 , -44.205925 , 0.000000
46 , -37.939306 , 0.000000
47 , -42.733473 , 0.000000
48 , -45.984024 , 0.000000
49 , -39.982865 , 0.000000
50 , -42.896816 , 0.000000
