iteration,reward,average_reward
1 , 125.0 , 125.0
2 , 102.0 , 113.5
3 , 107.0 , 111.3
4 ,  98.0 , 108.0
5 ,  21.0 ,  90.6
6 ,  88.0 ,  90.2
7 , 150.0 ,  98.7
8 ,  91.0 ,  97.8
9 , 111.0 ,  99.2
10 ,  94.0 ,  98.7
11 , 160.0 , 104.3
12 , 103.0 , 104.2
13 , 132.0 , 106.3
