EpRewMean,entloss,EpTrueRewMean,EpisodesSoFar,TimeElapsed,TimestepsSoFar,surrgain,EpThisIter,entropy,meankl,EpLenMean,optimgain,explained_variance_tdlam_before
317.25467,0.0,-659.6045868067304,299,417.3565936088562,146432,0.012796581,2,2.6218677,0.0034379247,490.0,0.012796581,0.3214147090911865
318.69394,0.0,-658.0855979794869,301,420.69323778152466,147456,0.038469598,2,2.616669,0.012743326,490.0,0.038469598,0.29327458143234253
327.21606,0.0,-658.0528380148346,304,424.69127321243286,148480,0.03822857,3,2.6303515,0.009214129,490.0,0.03822857,0.013975799083709717
330.9683,0.0,-656.6939553296427,306,427.7970435619354,149504,0.035224978,2,2.6269138,0.012771423,490.0,0.035224978,-0.03640246391296387
332.32016,0.0,-655.7398698462406,308,431.04049468040466,150528,0.047403116,2,2.6312473,0.01222202,490.0,0.047403116,0.06394904851913452
333.49396,0.0,-656.3390231543453,310,434.7419295310974,151552,0.044863585,2,2.5954597,0.010381881,490.0,0.044863585,0.23974770307540894
343.95154,0.0,-658.0203431185568,312,437.51319766044617,152576,0.019531436,2,2.6049893,0.0035785567,490.0,0.019531436,0.04287433624267578
363.82236,0.0,-658.5386946324027,314,440.2729721069336,153600,0.030565055,2,2.6317253,0.009763924,490.0,0.030565055,0.034754931926727295
397.51447,0.0,-658.6373924753395,316,442.97102189064026,154624,0.026353508,2,2.6568916,0.013642402,490.0,0.026353508,0.04373025894165039
434.9375,0.0,-658.5342537649674,318,445.7338321208954,155648,0.01826011,2,2.6593132,0.008889466,490.0,0.01826011,0.014743447303771973
472.97968,0.0,-658.8572802873095,320,448.4312810897827,156672,0.02359249,2,2.56195,0.011711307,490.0,0.02359249,0.0014985203742980957
509.3426,0.0,-658.7454463961301,322,451.15057396888733,157696,0.012388779,2,2.6058967,0.00896004,490.0,0.012388779,0.0026224851608276367
542.6735,0.0,-658.9070708461804,324,453.8619794845581,158720,0.025932584,2,2.6291597,0.012763065,490.0,0.025932584,0.0036779046058654785
589.41223,0.0,-657.4168043004116,327,456.5139856338501,159744,0.011130469,3,2.521209,0.004150689,490.0,0.011130469,0.026652276515960693
618.634,0.0,-656.3106083500898,329,459.24986124038696,160768,0.014517287,2,2.4591486,0.008780006,490.0,0.014517287,0.0378037691116333
643.65295,0.0,-653.3317661783425,331,461.9697918891907,161792,0.01296814,2,2.4620974,0.0127041,490.0,0.01296814,0.0085831880569458
668.2481,0.0,-651.5181926509133,333,464.58807039260864,162816,0.01093151,2,2.5296936,0.011139227,490.0,0.01093151,0.005244553089141846
685.8841,0.0,-650.2814580494538,335,467.27017283439636,163840,0.01635218,2,2.5303535,0.013120705,490.0,0.01635218,0.004438936710357666
697.8323,0.0,-648.4165538799018,337,469.9544246196747,164864,0.009605618,2,2.4974341,0.0037587509,490.0,0.009605618,0.004561901092529297
703.2833,0.0,-647.0156373837963,339,472.62336134910583,165888,0.0055984007,2,2.5175178,0.0031785187,490.0,0.0055984007,0.001993536949157715
705.4064,0.0,-646.1788371047005,341,475.3025846481323,166912,0.008046022,2,2.511313,0.0031455746,490.0,0.008046022,7.015466690063477e-05
699.53046,0.0,-645.9282561291009,343,477.95856404304504,167936,0.014978485,2,2.6156034,0.011178041,490.0,0.014978485,-0.0027774572372436523
695.1619,0.0,-646.8569077554159,345,480.5452914237976,168960,0.016345382,2,2.6105986,0.008572497,490.0,0.016345382,-0.0015571117401123047
691.37195,0.0,-646.386573483888,347,483.33590936660767,169984,0.012401702,2,2.6222746,0.010208952,490.0,0.012401702,-0.003737330436706543
687.48047,0.0,-646.6894104458391,349,486.022896528244,171008,0.025696263,2,2.5916228,0.0116288,490.0,0.025696263,-0.21636426448822021
672.54517,0.0,-647.0703100995161,351,488.65363574028015,172032,0.03027394,2,2.6943657,0.012517299,490.0,0.03027394,-0.342775821685791
651.5209,0.0,-647.6493511581793,353,491.3689458370209,173056,0.027019437,2,2.654998,0.009483107,490.0,0.027019437,-0.2205827236175537
624.09894,0.0,-648.4150398045779,355,494.1240665912628,174080,0.021405187,2,2.6959226,0.009048294,490.0,0.021405187,-0.03856039047241211
563.39404,0.0,-649.7733205519617,358,496.7966501712799,175104,0.01927643,3,2.8376133,0.0044743335,490.0,0.01927643,0.2998310327529907
522.838,0.0,-650.8315233066678,360,499.4076542854309,176128,0.009898481,2,2.8019912,0.0033713682,490.0,0.009898481,0.4843360185623169
478.966,0.0,-653.9300450757146,362,502.1047878265381,177152,0.03571944,2,2.7873514,0.011607478,490.0,0.03571944,-0.06857669353485107
442.03598,0.0,-655.967415529862,364,504.87463092803955,178176,0.025388233,2,2.796417,0.009467858,490.0,0.025388233,0.7638862878084183
413.57568,0.0,-657.6041615840047,366,507.50376415252686,179200,0.0112034455,2,2.771362,0.004752587,490.0,0.0112034455,0.0576171875
385.8292,0.0,-660.6840490810573,368,510.1156725883484,180224,0.016044209,2,2.8648458,0.0073895585,490.0,0.016044209,0.06261110305786133
