optimgain,entropy,entloss,EpLenMean,surrgain,TimestepsSoFar,meankl,EpTrueRewMean,EpThisIter,TimeElapsed,explained_variance_tdlam_before,EpRewMean,EpisodesSoFar
0.022071656,0.56692046,0.0,160.825,0.022071656,43008,0.008474515,160.825,8,110.53681015968323,0.7032638788223267,140.66211,281
0.019525275,0.53929543,0.0,151.175,0.019525275,44032,0.01122397,151.175,8,112.70210480690002,0.7422017753124237,143.5188,289
0.015078625,0.56467277,0.0,140.5,0.015078625,45056,0.012921483,140.5,8,114.8698034286499,0.8178367167711258,152.90996,297
0.012251103,0.5840852,0.0,136.5,0.012251103,46080,0.008202315,136.5,7,117.02620697021484,0.8515710681676865,152.9587,304
0.013410293,0.58365345,0.0,131.6,0.013410293,47104,0.010059563,131.6,8,119.20030784606934,0.9043077901005745,148.23047,312
0.016619002,0.5756548,0.0,129.2,0.016619002,48128,0.009305888,129.2,9,121.35766410827637,0.8632222712039948,142.02017,321
0.016945338,0.56925464,0.0,130.425,0.016945338,49152,0.009970608,130.425,8,123.52424025535583,0.911589615046978,141.3732,329
0.011317508,0.54049146,0.0,130.65,0.011317508,50176,0.008105578,130.65,7,125.66533088684082,0.9399569220840931,136.0113,336
0.012557915,0.5436166,0.0,129.675,0.012557915,51200,0.0026389977,129.675,8,127.81547379493713,0.9455942809581757,129.48222,344
0.019700294,0.5229774,0.0,134.6,0.019700294,52224,0.008530486,134.6,7,129.94660210609436,0.9597966745495796,129.19562,351
0.026996337,0.53052163,0.0,139.9,0.026996337,53248,0.0108784875,139.9,7,132.0860686302185,0.9796739127486944,130.21896,358
0.014363564,0.548844,0.0,145.925,0.014363564,54272,0.0034200111,145.925,6,134.2148883342743,0.8486633449792862,131.12576,364
0.012949909,0.492952,0.0,150.475,0.012949909,55296,0.008107459,150.475,6,136.42522597312927,0.9517737254500389,129.56384,370
0.023055306,0.55056435,0.0,153.925,0.023055306,56320,0.007208087,153.925,6,138.60019040107727,0.9359868168830872,128.18059,376
0.015845645,0.5136779,0.0,160.9,0.015845645,57344,0.010616988,160.9,6,140.74587893486023,0.9299688264727592,128.9634,382
0.018851595,0.5484829,0.0,169.425,0.018851595,58368,0.008896228,169.425,6,142.92127799987793,0.9554467536509037,129.50496,388
0.02004303,0.49807948,0.0,174.2,0.02004303,59392,0.011279769,174.2,5,145.07516241073608,0.902557797729969,127.94476,393
0.015380131,0.55054736,0.0,182.375,0.015380131,60416,0.014832686,182.375,6,147.23279738426208,0.9455512873828411,126.94114,399
0.036920585,0.51341945,0.0,179.4,0.036920585,61440,0.008747568,179.4,7,149.4167184829712,0.3457011580467224,116.34802,406
0.01438726,0.55250776,0.0,182.725,0.01438726,62464,0.00956346,182.725,5,151.63739347457886,0.7032077014446259,112.90395,411
0.019872505,0.4734127,0.0,182.0,0.019872505,63488,0.0067787943,182.0,7,153.83179187774658,0.5241197347640991,104.97417,418
0.025385795,0.5344275,0.0,183.875,0.025385795,64512,0.009816917,183.875,6,155.98332047462463,0.6873633563518524,99.87095,424
0.022751948,0.5366656,0.0,185.175,0.022751948,65536,0.00975392,185.175,5,158.31623125076294,0.6101857721805573,95.9121,429
0.016718877,0.53222287,0.0,186.05,0.016718877,66560,0.007861408,186.05,6,160.62163496017456,0.4257832169532776,91.75974,435
0.026996497,0.49434057,0.0,188.35,0.026996497,67584,0.01161748,188.35,5,163.0698311328888,0.42034220695495605,90.21065,440
0.01942811,0.47766006,0.0,191.875,0.01942811,68608,0.009451695,191.875,5,167.1204912662506,0.083473801612854,90.887695,445
0.012907062,0.48460504,0.0,193.7,0.012907062,69632,0.011456139,193.7,5,170.38861560821533,0.18628942966461182,90.59273,450
0.011432907,0.470741,0.0,197.075,0.011432907,70656,0.0096189175,197.075,5,173.54290580749512,0.24527114629745483,92.025925,455
0.03203708,0.43294924,0.0,200.0,0.03203708,71680,0.0094705615,200.0,5,176.51809549331665,0.22327888011932373,94.33269,460
0.01668736,0.45885763,0.0,198.85,0.01668736,72704,0.014405323,198.85,5,179.47987127304077,0.31349116563796997,94.53462,465
0.02658265,0.38005114,0.0,198.775,0.02658265,73728,0.013481922,198.775,5,181.82525157928467,0.6364064812660217,95.96418,470
0.017064855,0.36714715,0.0,198.775,0.017064855,74752,0.008609637,198.775,5,185.30211186408997,0.8463641703128815,97.394875,475
0.012578848,0.32799846,0.0,198.775,0.012578848,75776,0.009272039,198.775,5,188.82674956321716,0.650961697101593,98.79173,480
0.012179175,0.32627076,0.0,198.775,0.012179175,76800,0.008676807,198.775,5,191.91156005859375,0.6760546267032623,100.32561,485
0.0119796805,0.31041366,0.0,198.775,0.0119796805,77824,0.0069800024,198.775,6,194.70924830436707,0.4867221713066101,101.96931,491
0.0075221863,0.36462426,0.0,198.775,0.0075221863,78848,0.010674028,198.775,5,197.5580699443817,0.4145395755767822,103.50017,496
0.015331855,0.40605342,0.0,198.775,0.015331855,79872,0.0038185953,198.775,5,199.88777256011963,0.08385515213012695,104.93541,501
0.00825366,0.4231922,0.0,199.925,0.00825366,80896,0.007063382,199.925,5,203.6050374507904,0.10932660102844238,106.996765,506
