iteration,average_reward,feedback_rate
1 , 14.555556 , 0.611111
2 , 14.777778 , 0.500000
3 , 69.555556 , 0.476190
4 , 60.555556 , 0.736318
5 , 108.777778 , 0.723077
6 , 126.444444 , 0.704142
7 , 19.000000 , 0.550000
8 , 54.000000 , 0.653846
9 , 167.333333 , 0.846154
10 , 198.555556 , 0.049751
11 , 194.222222 , 0.104478
12 , 200.000000 , 0.106250
13 , 200.000000 , 0.000000
14 , 200.000000 , 0.000000
