iteration,total_reward,policy_loss,fdm_loss
1 , -91.596847 , 1.873062 , 0.291382
2 , 215.942533 , 1.658638 , 0.313754
3 , -129.774782 , 1.998792 , 0.216961
4 , 244.204357 , 2.823492 , 0.225173
5 , 290.991498 , 2.858032 , 0.126788
6 , -1.055228 , 3.280354 , 0.227597
7 , 26.527608 , 2.563735 , 0.283057
8 , 22.037145 , 2.280927 , 0.159324
9 , -23.991143 , 4.167407 , 0.283265
10 , 245.389171 , 2.428640 , 0.288220
11 , 269.559823 , 2.652419 , 0.181353
12 , 205.107951 , 3.018032 , 0.143051
13 , 244.815018 , 2.503363 , 0.274961
14 , -311.383274 , 2.522985 , 0.356796
15 , 283.789012 , 3.228520 , 0.149847
16 , -20.318727 , 2.877067 , 0.221887
17 , 276.531820 , 3.393702 , 0.318123
18 , 189.701723 , 3.030282 , 0.177294
19 , 240.311879 , 2.291102 , 0.195228
20 , 258.757481 , 2.658225 , 0.184139
