iteration,total_reward,policy_loss,idm_loss
1 , 41.920393799683836 , 0.046094183 , 0.032829747
2 , -38.18571109813487 , 0.03491668 , 0.107589096
3 , -1.125490281856699 , 0.034200635 , 0.053615678
4 , -38.10123061211799 , 0.028636886 , 0.08254572
5 , -55.840685562056706 , 0.032093905 , 0.08901164
6 , 10.771462711308686 , 0.055516373 , 0.063796066
7 , -20.247130873271033 , 0.037359025 , 0.07061321
8 , 48.97283772234576 , 0.035832435 , 0.09583071
9 , -14.349550928724412 , 0.035626613 , 0.08704655
10 , -80.24081275611432 , 0.02763388 , 0.11366596
11 , 22.458137757813176 , 0.038333558 , 0.13401541
12 , 254.95067786732793 , 0.02671505 , 0.05885616
13 , -69.20049241295618 , 0.037235055 , 0.080271505
14 , -251.1155495158213 , 0.02577256 , 0.10430485
15 , -145.22115764515559 , 0.023968434 , 0.110376246
16 , -36.84067323314348 , 0.020366583 , 0.07989488
17 , -71.89657503486055 , 0.031691413 , 0.057766184
18 , 192.35368442550623 , 0.032333147 , 0.05875785
19 , 42.41572208261039 , 0.036651 , 0.10002016
20 , -11.39097844091377 , 0.022521485 , 0.040613852
21 , 60.20326606285931 , 0.02306591 , 0.042939957
22 , 14.33053657482668 , 0.021283831 , 0.11459171
23 , 63.64604334901472 , 0.034484092 , 0.059071586
24 , -187.38010048377876 , 0.035232116 , 0.035257243
25 , 242.96335012278786 , 0.032864343 , 0.048603825
26 , 153.42061308051913 , 0.028113205 , 0.045046672
