iteration,total_reward,policy_loss,idm_loss
1 , -136.0 , 0.0969108 , 0.82286614
2 , -129.0 , 0.013929201 , 0.84846133
3 , -131.0 , 0.055339105 , 0.6289033
4 , -186.0 , 0.4252071 , 0.20100854
5 , -126.0 , 0.6830143 , 1.0893974
6 , -115.0 , 0.15574615 , 0.21111304
7 , -115.0 , 0.10137192 , 0.06558042
8 , -114.0 , 0.11990367 , 0.02358592
9 , -111.0 , 0.16472153 , 1.2865881
10 , -112.0 , 0.13880749 , 0.058772173
