iteration,reward,average_reward
1 , 286.9 , 286.9
2 , 285.4 , 286.2
3 , 257.5 , 276.6
4 , 300.0 , 282.5
5 , 269.9 , 280.0
6 , 269.6 , 278.2
7 , -43.3 , 232.3
8 , 283.6 , 238.7
9 , 287.1 , 244.1
10 , 294.6 , 249.1
11 , 247.9 , 249.0
12 , 276.1 , 251.3
13 , 281.4 , 253.6
14 , 254.6 , 253.7
15 ,  -1.1 , 236.7
