iteration,average_reward,feedback_rate
1 , -196.743610 , 0.662500
2 , -190.017595 , 0.678161
3 , -113.692170 , 0.607330
4 , -133.161824 , 0.789855
5 , -199.882974 , 0.703390
6 , -152.889397 , 0.748252
7 , -191.877764 , 0.565359
8 , -119.752439 , 0.482412
9 , -172.758349 , 0.601476
10 , -141.592452 , 0.465517
11 , -205.574396 , 0.313043
12 , -186.117872 , 0.800000
13 , -314.023960 , 0.631579
14 , -302.022927 , 0.616000
15 , -200.164200 , 0.379630
16 , -280.551509 , 0.440000
17 , -228.761349 , 0.529781
18 , -189.829772 , 0.378882
19 , -182.896163 , 0.666667
20 , -209.806268 , 0.346304
21 , -289.497962 , 0.463542
22 , -155.989280 , 0.845794
23 , -292.297782 , 0.630282
24 , -252.461458 , 0.698980
25 , -203.863429 , 0.309211
26 , -234.752904 , 0.496774
27 , -202.854587 , 0.875000
28 , -176.515607 , 0.598540
29 , -283.369220 , 0.875776
30 , -201.865101 , 0.302632
31 , -349.635275 , 0.654135
32 , -285.474315 , 0.619512
33 , -311.562797 , 0.802752
34 , -134.338153 , 0.204301
35 , -308.601717 , 0.533333
36 , -227.663845 , 0.181034
37 , -277.832092 , 0.469072
38 , -272.176690 , 0.739130
39 , -134.648472 , 0.760684
40 , -210.947545 , 0.655462
41 , -282.783271 , 0.658915
42 , -231.528126 , 0.704698
43 , -189.114524 , 0.393939
44 , -248.982669 , 0.150568
45 , -208.856646 , 0.630000
46 , -201.274664 , 0.605042
47 , -152.560088 , 0.572581
48 , -240.129403 , 0.580357
49 , -291.280937 , 0.690265
50 , -129.717969 , 0.155963
