EpLenMean,entropy,surrgain,entloss,meankl,TimeElapsed,EpisodesSoFar,EpTrueRewMean,optimgain,EpRewMean,explained_variance_tdlam_before,TimestepsSoFar,EpThisIter
128.125,2.7812908,0.032985352,0.0,0.009198652,6.2194907665252686,8,-257.7979125173006,0.032985352,91.390594,0.13567101955413818,1024,8
123.5,2.7698977,0.02489883,0.0,0.012081326,10.897333145141602,14,-296.7971679519563,0.02489883,89.14222,-0.048638224601745605,2048,6
113.91666666666667,2.8464992,0.023571089,0.0,0.008531155,17.735082387924194,24,-338.61375464265194,0.023571089,82.160904,0.12117975950241089,3072,10
113.72727272727273,2.8206284,0.02415325,0.0,0.0069611613,21.25570845603943,33,-329.82788192494206,0.02415325,81.588745,0.1294008493423462,4096,9
106.4,2.80952,0.022989761,0.0,0.010024904,24.89492630958557,42,-334.42456379353536,0.022989761,75.98476,0.06661474704742432,5120,9
108.8,2.7837937,0.028452924,0.0,0.008560516,28.412474155426025,51,-370.1035406618059,0.028452924,76.06459,0.05703991651535034,6144,9
108.475,2.7443535,0.023306182,0.0,0.009600969,32.538140296936035,61,-358.8050686150673,0.023306182,74.03138,0.18030136823654175,7168,10
117.35,2.7569058,0.037677325,0.0,0.0103101265,36.57554078102112,68,-371.12968238241154,0.037677325,77.98198,0.35967981815338135,8192,7
115.3,2.753133,0.031758524,0.0,0.0120705655,40.249237298965454,77,-359.36458070241497,0.031758524,75.02799,0.4961155652999878,9216,9
118.35,2.7658393,0.038395137,0.0,0.009837618,44.280569076538086,85,-366.43850586605987,0.038395137,77.183365,0.3892327547073364,10240,8
118.3,2.7198179,0.018337823,0.0,0.0105830645,48.38819885253906,95,-347.5734305725506,0.018337823,73.081154,0.7332490086555481,11264,10
109.5,2.7285135,0.029744264,0.0,0.008607072,53.37883472442627,105,-322.3998746216865,0.029744264,66.917786,0.3817024827003479,12288,10
113.35,2.7104096,0.024590138,0.0,0.009639837,57.08691167831421,113,-316.2394793018544,0.024590138,69.34286,0.5560185611248016,13312,8
