# {"t_start": 1586104316.6417692, "env_id": "Hopper-v2"} 
r,l,t
198.356886,102,19.818692
191.624863,103,19.972947
246.351222,157,20.196612
168.080831,88,20.332274
251.681899,149,20.581084
173.20764,92,20.752952
203.305043,102,21.179586
260.945287,159,21.446108
251.311778,147,21.655743
255.773411,158,21.852927
189.661779,110,21.979814
75.6747,48,22.034838
122.846941,79,22.120824
182.451202,96,22.223812
198.7563,105,22.330619
209.364286,117,22.576025
19.737184,49,22.631556
109.973631,76,22.712995
191.802828,95,22.811912
22.752862,52,22.864473
258.93656,151,23.018136
178.57,94,23.112253
235.418049,144,23.255076
54.27534,34,23.288733
224.242304,128,23.414926
198.377011,101,23.512776
221.763256,124,23.758948
233.836847,131,23.898237
300.358135,175,24.072619
292.333633,181,24.25229
224.449447,123,24.370835
208.135612,111,24.479541
196.783887,107,24.583979
224.679543,131,24.709053
254.433541,151,25.182143
212.497036,113,25.294946
224.654167,120,25.418398
200.185481,120,25.540624
241.408124,153,25.690723
262.249798,163,25.848609
213.26621,123,25.968754
220.336992,119,26.20303
289.478676,203,26.409538
212.367061,139,26.550602
277.727615,188,26.733991
301.272331,198,26.926883
239.998945,134,27.053857
208.450256,115,27.165435
269.984804,157,27.452347
300.694939,222,27.671662
347.289117,265,27.931165
258.507769,158,28.084126
379.933949,262,28.458177
237.208498,146,28.613445
335.399928,175,28.789217
343.335904,211,29.00101
268.129785,171,29.167933
266.033522,158,29.323328
299.50733,191,29.624095
141.761085,85,29.710375
421.405748,254,29.965773
236.224791,150,30.115011
337.47901,182,30.290448
295.930089,174,30.461159
344.708086,231,30.79991
413.445525,236,31.035154
252.322515,153,31.1859
244.627676,159,31.340611
345.589532,247,31.578521
318.118411,214,31.9157
297.504497,201,32.124291
308.475279,197,32.321686
298.146275,197,32.515133
305.424993,188,32.699834
244.118191,167,32.859676
269.798668,190,33.171693
230.626708,160,33.331962
275.319888,185,33.515661
200.9081,123,33.639408
329.865652,221,33.857172
446.525033,311,34.279927
314.612973,228,34.504626
193.082987,145,34.648848
362.711402,251,34.895894
229.993773,158,35.048444
454.838357,364,35.565276
606.179753,709,36.269061
440.942781,257,36.663983
429.904838,292,36.965427
325.434868,225,37.188466
253.882384,184,37.370323
459.812648,319,37.814701
448.31978,411,38.217012
942.655577,890,39.239112
160.948442,118,39.35623
1052.023346,1000,40.484011
389.764,351,40.828196
333.641284,290,41.251269
407.961371,368,41.614698
1031.995876,1000,42.941628
570.156555,626,43.679104
425.147046,349,44.027424
990.47766,1000,45.130864
542.533213,577,45.829203
712.124369,612,46.449627
169.389178,131,46.577968
89.283105,68,46.645074
618.072695,508,47.270082
1017.114774,973,48.3524
493.211086,444,48.793952
333.365444,296,49.083718
256.405525,274,49.475242
998.792043,1000,50.594087
622.873528,642,51.228242
1050.959064,1000,52.340783
993.066076,1000,53.47152
1021.163954,1000,54.569447
1039.319576,1000,55.666095
646.212371,640,56.440819
825.573737,767,57.31472
1006.94428,1000,58.415234
1041.9436,1000,59.742438
937.862236,1000,60.831505
1007.810393,1000,61.87905
940.176594,1000,62.943981
975.703305,1000,64.111781
97.191827,59,64.179996
954.00685,1000,65.328026
571.998707,575,65.900529
1016.063543,1000,67.030028
974.674114,1000,68.14103
972.516436,1000,69.257238
1008.852431,1000,70.410876
558.97678,533,71.053229
954.545896,1000,72.172361
923.591831,972,73.1352
1009.827257,1000,74.275189
314.267146,313,74.735341
951.301057,1000,75.863446
1075.83031,1000,77.207113
314.960044,292,77.506585
937.987779,1000,78.630189
966.758865,1000,79.751804
527.32212,548,80.288829
471.411947,422,80.84357
892.361497,1000,81.962844
222.673302,205,82.168054
954.019632,1000,83.28698
992.672657,1000,84.430016
979.285979,1000,85.572186
151.169351,131,85.703093
933.168851,1000,86.809023
933.793614,917,87.832042
1015.431508,1000,88.942374
1048.473454,1000,90.071925
94.73328,86,90.157581
960.756964,1000,91.290992
518.442254,492,91.775764
923.452576,1000,92.903089
1018.082556,1000,94.064036
1010.97352,1000,95.414933
1019.051289,1000,96.5323
999.277044,1000,97.653662
1016.080672,1000,98.812892
1012.147127,1000,99.940379
1015.263289,1000,101.051414
397.095145,350,101.524325
1011.692002,1000,102.653414
502.615311,482,103.139554
1028.751143,1000,104.263001
1013.89238,1000,105.344703
1063.132988,1000,106.382967
432.087885,394,106.762694
772.695766,738,107.604688
999.969314,1000,108.71393
175.569506,165,108.875546
1059.969546,1000,110.005397
997.598774,1000,111.120779
1023.435134,1000,112.463213
992.976412,1000,113.595756
1024.907658,1000,114.704493
1060.082886,902,115.726096
995.492614,1000,116.839179
1118.133532,1000,117.952626
1006.47368,1000,119.076164
944.043168,865,120.050354
1032.476446,1000,121.153097
1095.344901,1000,122.261369
1026.387049,1000,123.356258
1039.683034,1000,124.473278
974.754321,1000,125.610192
973.787655,1000,126.733988
1018.321921,1000,127.829124
1029.003003,1000,129.174138
1023.201518,1000,130.297121
1027.257033,1000,131.409855
997.513768,1000,132.548705
319.879682,369,132.955453
776.436296,687,133.765976
273.931728,252,134.022386
832.079653,720,134.846359
1035.910822,1000,135.841114
1034.295572,1000,136.973251
999.161242,1000,138.07651
966.658457,1000,139.25474
757.264117,598,140.016761
1030.549609,828,140.960349
584.578889,575,141.526588
927.588515,873,142.524917
1139.189622,1000,143.67624
574.462895,395,144.211782
459.247653,312,144.530924
1026.817015,1000,145.651979
1139.592494,1000,147.033224
1143.300009,1000,148.15044
1019.545245,1000,149.270057
347.971183,212,149.483681
1087.030039,1000,150.632971
1000.139349,825,151.584453
1125.313598,980,152.677289
317.822738,235,152.912466
400.300991,326,153.22884
496.377029,350,153.708032
789.160707,650,154.362653
1086.890557,977,155.454791
476.250441,479,156.049214
170.13167,132,156.182181
574.516913,399,156.574699
110.496444,86,156.659003
1126.359636,861,157.649684
1100.372733,1000,158.760218
855.404624,674,159.544519
507.391069,364,159.908923
1194.97013,1000,161.034258
1059.194414,1000,162.151347
864.115232,652,162.916234
317.337487,183,163.101873
797.079325,609,163.705203
1151.051312,934,165.017956
722.730305,510,165.665229
1177.192325,1000,166.773381
413.283835,230,166.987791
548.489547,417,167.475833
576.663535,358,167.83191
964.019268,733,168.618672
1154.136328,1000,169.651577
718.258852,626,170.233355
435.339851,268,170.487667
1179.558416,1000,171.622562
446.933658,289,172.037652
684.651682,480,172.518071
439.119282,262,172.774146
1232.234409,1000,173.888085
334.875233,229,174.251889
353.839817,214,174.476391
464.348862,242,174.724165
1025.015181,757,175.595317
647.732497,513,176.10783
262.180345,218,176.322531
484.003168,250,176.687213
366.383112,217,176.905066
594.69063,394,177.294385
379.075554,229,177.661524
399.477498,194,177.867863
138.643764,77,177.947937
785.458384,585,178.534341
291.515545,201,178.867478
148.297419,91,178.963047
1038.825385,718,179.677964
375.724921,215,180.019233
758.046994,521,180.549121
533.59804,335,180.881424
342.176267,167,181.418484
407.569073,212,181.637147
370.718897,230,181.869307
401.269784,198,182.06561
715.56161,473,182.662182
129.270297,67,182.731335
602.781828,418,183.151516
386.972529,212,183.361273
365.469225,285,183.765013
558.576985,387,184.161075
132.430248,69,184.231138
504.648406,311,184.542062
431.411263,237,184.92387
406.775664,179,185.115346
419.745628,240,185.36407
581.38364,361,185.725859
441.887912,198,186.04921
444.373282,271,186.330016
479.522065,255,186.584609
443.231239,200,186.783565
496.945345,307,187.214499
312.324323,140,187.362257
520.952777,318,187.685488
298.423689,142,187.823961
369.964241,155,187.97671
374.585519,172,188.14573
308.498856,133,188.418734
160.866249,82,188.50542
402.116701,195,188.707561
387.553899,167,188.877934
339.406114,133,189.00801
370.967444,225,189.232091
260.211561,117,189.470346
381.850615,167,189.641827
416.151134,208,189.853888
536.796198,304,190.157008
391.616732,160,190.313939
149.569512,82,190.392978
483.298326,274,190.788724
390.942624,172,190.962242
