iteration,average_reward
1 , -1003.716367
2 , -18.324837
3 , -18.157981
4 , -9.412088
5 , -18.137959
6 , -25.342919
7 , -19.064653
8 , -15.364211
9 , -428.447387
10 , -17.831652
11 , -101.248109
12 , -105.991408
13 , -15.666828
14 , -15.985972
15 , -22.819363
16 , -22.220641
17 , -20.765422
18 , -10.985263
19 , -10.905895
20 , -12.603284
21 , -14.400554
22 , -12.115957
23 , -13.401993
24 , -14.148739
25 , -15.013630
26 , -12.424465
