iteration,reward,average_reward
1 , -69.9 , -69.9
2 , -68.3 , -69.1
3 , -41.5 , -59.9
4 , -44.0 , -55.9
5 , -55.2 , -55.8
6 , -36.7 , -52.6
7 , -33.0 , -49.8
