iteration,reward,average_reward
1 , -25.1 , -25.1
2 , -27.0 , -26.0
3 , -23.0 , -25.0
4 , -28.5 , -25.9
5 , -23.7 , -25.5
6 , -18.3 , -24.3
7 , -25.8 , -24.5
