iteration,average_reward,policy_loss,fdm_loss
1 , -497.128482 , 0.573795 , 0.011489
2 , -327.990792 , 0.435114 , 0.001806
3 , -237.780137 , 0.444161 , 0.006814
4 , -122.345767 , 0.395472 , 0.013674
5 , -53.125905 , 0.547444 , 0.004944
6 , 130.269584 , 0.365082 , 0.004388
7 , 128.654672 , 0.508797 , 0.002693
8 , 119.822919 , 0.326042 , 0.004326
9 , 179.464238 , 0.351439 , 0.003086
10 , 35.186362 , 0.405400 , 0.002569
11 , 210.003826 , 0.453115 , 0.001352
12 , 192.085639 , 0.451934 , 0.007077
13 , 155.720043 , 0.532523 , 0.005482
14 , 199.927988 , 0.509692 , 0.003166
15 , 216.507918 , 0.493429 , 0.005998
16 , 200.199291 , 0.484579 , 0.003407
17 , 185.252153 , 0.526837 , 0.004819
