iteration,average_reward,policy_loss,fdm_loss
1 , -166.360948 , 0.362224 , 0.274590
2 , -194.721359 , 0.288537 , 0.226028
3 , -43.665927 , 0.458004 , 0.268677
4 , 136.464392 , 0.366398 , 0.145164
5 , 25.488936 , 0.358492 , 0.113254
6 , 200.898311 , 0.356892 , 0.120795
7 , 159.755353 , 0.315130 , 0.175184
8 , 152.650202 , 0.458846 , 0.143626
9 , 202.674407 , 0.356001 , 0.134283
10 , 122.157262 , 0.385858 , 0.094935
11 , 174.821502 , 0.347994 , 0.111179
12 , 154.855417 , 0.450071 , 0.144105
13 , 189.353593 , 0.286230 , 0.112826
14 , 224.390592 , 0.420191 , 0.105941
15 , 232.549234 , 0.365264 , 0.100142
16 , 129.605149 , 0.388997 , 0.093036
17 , 23.615938 , 0.369661 , 0.141526
18 , -32.204562 , 0.385421 , 0.248239
19 , 45.061262 , 0.336252 , 0.177321
20 , -108.763927 , 0.403455 , 0.289708
21 , -23.328647 , 0.380834 , 0.232688
22 , 157.321671 , 0.398178 , 0.142182
23 , 170.223525 , 0.357503 , 0.118146
24 , 149.560128 , 0.406089 , 0.145992
25 , 140.565285 , 0.352142 , 0.152465
26 , 77.206302 , 0.365714 , 0.232425
27 , 119.339526 , 0.356806 , 0.114715
28 , 240.503512 , 0.359515 , 0.130423
29 , 225.558121 , 0.358130 , 0.128402
30 , 226.968950 , 0.402265 , 0.171081
31 , 254.476933 , 0.352719 , 0.155664
32 , 227.625390 , 0.412064 , 0.121190
33 , 224.866679 , 0.401694 , 0.118494
34 , 245.197210 , 0.418588 , 0.146659
35 , 248.147632 , 0.354307 , 0.179565
36 , 265.047475 , 0.398901 , 0.129711
37 , 200.792294 , 0.375031 , 0.139254
38 , 216.429491 , 0.367484 , 0.115300
39 , 210.858930 , 0.434146 , 0.181060
40 , 233.720441 , 0.390595 , 0.159425
41 , 246.241910 , 0.416711 , 0.182884
42 , 215.471736 , 0.377301 , 0.163692
43 , 175.487178 , 0.390323 , 0.139472
