# {"t_start": 1586114295.61758, "env_id": "LunarLanderContinuous-v2"} 
r,l,t
-636.623747,112,30.970006
-496.345964,71,31.043266
-599.016247,87,31.147784
4.272124,96,31.606012
-209.961781,65,31.675124
-394.510634,56,31.736648
-245.440038,60,31.799581
-313.88699,69,31.871112
-144.243207,57,31.929281
-372.418285,80,32.007818
-613.81689,116,32.228026
37.049434,57,32.288884
-632.27053,105,32.424704
-490.054543,60,32.491719
-530.518221,87,32.587296
-399.4225,69,32.660199
-735.371226,101,32.769914
-137.72002,62,32.894708
-584.723004,101,33.009925
12.248694,63,33.075435
33.377569,63,33.137749
-577.380974,139,33.300951
-422.230353,78,33.380876
-505.799698,78,33.820864
-696.442741,119,33.968979
-373.451078,47,34.020221
-475.214795,66,34.089234
-715.354571,126,34.243847
-343.94361,52,34.294627
-1067.682736,139,34.522663
-413.407957,70,34.594948
-663.116454,79,34.691303
-299.034484,54,34.745776
-746.389044,77,34.826719
-577.887018,73,34.901658
-718.286644,95,35.09764
-537.196014,79,35.179163
-681.732843,69,35.260098
-621.531973,68,35.339899
-661.165243,77,35.428311
-450.058701,57,35.483658
-561.266333,70,35.5538
-422.385513,55,35.967016
-251.210738,51,36.018465
-455.177966,74,36.09182
-755.97415,88,36.182842
-456.309724,67,36.249478
-681.21182,89,36.351609
-816.426634,87,36.502665
-613.978378,74,36.582294
-747.92655,85,36.670582
-337.736952,58,36.727072
-249.861776,51,36.77697
-650.116051,81,36.870044
-139.968262,54,36.918502
-712.79158,100,37.103424
-465.837716,53,37.161615
-368.248083,58,37.221025
-795.629309,97,37.323562
-710.328228,85,37.422656
-680.576394,144,37.592374
-669.83728,64,38.032802
-417.3119,49,38.087711
-668.917803,77,38.18553
-518.345993,65,38.256262
-258.55691,64,38.323433
-701.979088,93,38.438716
-1439.153782,194,38.773118
-797.785501,104,38.898915
-645.578032,67,38.973404
-582.390656,66,39.044682
-826.465378,137,39.204064
-459.40125,54,39.261453
-902.043001,125,39.479968
-739.270582,92,39.585169
-701.091641,73,39.673664
-585.41011,74,39.748895
-499.637008,73,39.824322
-444.381448,53,39.878704
-410.240778,51,40.303842
-840.871846,79,40.399733
-794.128545,105,40.530926
-1536.291526,210,40.829218
-663.140103,69,40.900965
-462.026819,58,41.035326
-710.579534,73,41.116461
-440.227638,53,41.173494
-492.633139,54,41.234561
-130.257321,60,41.290257
-683.840404,59,41.359807
-1008.046058,219,41.735494
-426.006215,56,41.796544
-507.02586,66,41.86815
-825.084843,89,41.975977
-758.829327,91,42.08589
-713.150987,158,42.675176
-1092.949226,120,42.826866
-717.349688,66,42.910781
-780.290908,86,43.018113
-1821.248698,292,43.489386
-518.145393,56,43.550837
-754.811625,83,43.653147
-123.6524,52,43.702646
-117.631157,64,43.76128
-524.438823,67,43.834818
-816.337506,85,43.939162
-751.493106,63,44.085911
-731.730915,80,44.188259
-782.664414,78,44.286869
-685.220502,65,44.367331
-736.752126,69,44.452888
-8.217488,76,44.532031
-390.198179,51,44.586661
-752.716814,86,45.063547
-136.464259,64,45.126621
-382.632982,60,45.192008
-491.922921,68,45.269361
-715.420185,74,45.350905
-769.640654,74,45.439987
-449.625332,66,45.512037
-433.342706,50,45.628683
-753.289313,73,45.720405
-424.45866,50,45.776257
-471.336597,69,45.850264
-265.200577,59,45.911573
-785.496168,78,45.998471
-476.368902,53,46.056678
-449.975952,58,46.119197
-730.637945,76,46.272081
-711.826125,88,46.383525
-678.266802,74,46.466005
-424.247145,50,46.522152
-439.225401,64,46.589746
-679.182489,83,46.680518
-784.988911,93,46.790317
-484.255089,63,47.254894
-707.139813,90,47.364094
-698.674467,69,47.441967
-645.025737,66,47.516718
-688.149108,75,47.610482
-2803.658898,250,48.059412
-374.152331,63,48.127348
-273.053165,63,48.193885
-481.535976,54,48.252163
-527.523034,59,48.315606
-824.40574,82,48.405185
-450.986308,52,48.460555
-814.773301,114,48.665966
-414.661087,66,48.739871
-486.740952,56,48.802678
-651.941439,61,48.878839
-682.412323,92,48.988591
-439.810966,54,49.046244
-458.715546,54,49.104994
-1653.851202,151,49.717577
-125.582803,52,49.771539
-641.966905,67,49.845833
-500.532269,56,49.906979
-293.236222,53,49.960741
-654.585771,76,50.047518
-667.898518,84,50.145044
-731.723419,117,50.365416
-686.302917,111,50.499739
-448.934302,53,50.557076
-840.102703,81,50.644925
-809.256561,78,50.729623
-576.700148,65,50.871032
-390.236824,57,50.934078
-718.420167,78,51.035913
-724.386088,73,51.128356
-876.899216,81,51.219204
-774.880388,75,51.302402
-691.777576,103,51.421737
-644.385441,66,51.885449
-418.123366,51,51.939849
-220.205984,50,51.990984
-477.17922,77,52.085868
-710.389626,91,52.197435
-741.389688,85,52.298305
-130.926246,55,52.35173
-535.5335,60,52.482737
