EpLenMean,EpRewMean,EpThisIter,EpTrueRewMean,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
123.2,112.632706,5,-253.5473025380483,5,3.0470995903015137,616,0.0,2.8385472,0.5625357031822205,0.0076019815,0.0028089238,0.0028089238
101.0909090909091,87.25574,6,-178.52562688387636,11,5.39564847946167,1112,0.0,2.8390405,0.8943973109126091,0.007106705,0.004688568,0.004688568
94.05882352941177,77.990906,6,-171.05320881028706,17,8.323142051696777,1599,0.0,2.8446963,0.8010990172624588,0.008616557,0.008180766,0.008180766
91.26086956521739,73.64989,6,-191.39537375983147,23,10.398096084594727,2099,0.0,2.8468575,0.7904391139745712,0.0084839715,0.0018545123,0.0018545123
89.44827586206897,72.2852,6,-209.35134753651712,29,12.416978120803833,2594,0.0,2.846848,0.606548011302948,3.593564e-06,4.9352644e-07,4.9352644e-07
85.80555555555556,68.12834,7,-211.23843542849113,36,14.43004322052002,3089,0.0,2.8469183,0.77425117790699,1.7769337e-06,2.4211406e-07,2.4211406e-07
77.375,58.9635,7,-207.58964482501028,43,16.452602863311768,3547,0.0,2.8468587,0.7855609804391861,7.8560115e-06,1.0306835e-06,1.0306835e-06
76.525,56.40696,6,-235.02104870962506,49,18.524866580963135,4021,0.0,2.8468585,0.8394406586885452,1.5175343e-07,1.2302398e-07,1.2302398e-07
76.05,55.76161,7,-253.20154308316506,56,20.601329565048218,4514,0.0,2.846727,0.8167545348405838,0.008333315,0.0016323578,0.0016323578
73.025,52.22743,7,-265.9498848126144,63,22.706023931503296,5020,0.0,2.8467062,0.8748739808797836,7.987023e-09,3.6597253e-08,3.6597253e-08
73.0,50.413403,6,-277.5151597188339,69,24.88021421432495,5514,0.0,2.846853,0.8495059758424759,8.043468e-06,8.1968307e-07,8.1968307e-07
73.15,48.786976,7,-307.3750732177763,76,26.99429678916931,6015,0.0,2.8459468,0.8801774680614471,8.59499e-07,1.6860962e-06,1.6860962e-06
78.05,52.80237,5,-360.8717568388786,81,29.249209880828857,6517,0.0,2.8456578,0.7916262149810791,7.844031e-06,2.9258729e-06,2.9258729e-06
79.45,52.28169,6,-355.1014306606086,87,31.385636568069458,7023,0.0,2.8456922,0.8894988596439362,0.0075809676,0.0056156525,0.0056156525
78.5,50.72306,7,-405.16267011003885,94,33.561147928237915,7538,0.0,2.8458116,0.9646171666681767,7.271469e-06,2.8714537e-06,2.8714537e-06
81.075,51.718315,6,-455.3865068301655,100,35.66124391555786,8075,0.0,2.8457787,0.9097704067826271,0.00736534,0.0018745663,0.0018745663
81.95,51.411797,6,-506.11085156866864,106,37.90868854522705,8565,0.0,2.8467767,0.9519348777830601,0.0074487366,0.00717485,0.00717485
85.975,53.576378,5,-554.9396407998269,111,40.267720222473145,9086,0.0,2.84677,0.7057071626186371,8.986056e-06,8.188725e-06,8.188725e-06
83.025,52.51409,7,-571.4041482306666,118,42.61897611618042,9568,0.0,2.8467963,0.8211189210414886,0.008293047,0.0012114138,0.0012114138
82.25,50.73066,7,-622.3934507513792,125,44.82100820541382,10096,0.0,2.8466756,0.8746717125177383,2.07901e-06,1.2969971e-06,1.2969971e-06
79.55,47.14206,7,-615.6317400091682,132,47.16381001472473,10593,0.0,2.8467355,0.9773145113140345,7.688105e-06,2.4278163e-06,2.4278163e-06
79.85,46.714294,7,-632.8602514765473,139,49.44645142555237,11125,0.0,2.8465579,0.9880377920344472,0.0078091705,0.0020394786,0.0020394786
80.425,46.35321,4,-600.15469111347,143,51.699339866638184,11582,0.0,2.8461957,0.546488881111145,0.009388138,0.0009481857,0.0009481857
77.975,44.958687,6,-594.9423810946557,149,53.86596965789795,12025,0.0,2.84578,0.9134076237678528,2.0180942e-06,6.067753e-07,6.067753e-07
75.55,40.672997,7,-566.4758429088758,156,56.08552145957947,12463,0.0,2.845179,0.9778352603316307,0.008591152,0.006131935,0.006131935
77.175,41.02243,7,-572.1850823180251,163,58.34500789642334,13007,0.0,2.8400426,0.5739694237709045,2.3217797e-06,4.1007996e-07,4.1007996e-07
74.375,38.594837,8,-542.7597186423034,171,60.603508710861206,13514,0.0,2.8399959,0.9363844618201256,0.0018384897,3.7774444e-06,3.7774444e-06
76.175,38.371468,5,-557.4428887715537,176,62.88617157936096,13913,0.0,2.8396766,0.8912381157279015,0.0033833846,0.007930457,0.007930457
71.825,34.64508,7,-550.3338284639827,183,65.09743142127991,14455,0.0,2.835384,0.8454666286706924,0.00729532,0.0019010014,0.0019010014
72.05,34.95551,7,-558.1689380218567,190,67.31781435012817,14973,0.0,2.8349621,0.9610420428216457,0.0064976583,0.0056180526,0.0056180526
75.45,37.133617,6,-531.9638972788025,196,69.66973543167114,15481,0.0,2.834977,0.8009342104196548,2.2500753e-06,1.3751984e-06,1.3751984e-06
74.975,36.33562,7,-523.2133578873326,203,72.00128269195557,16006,0.0,2.834581,0.8993498384952545,4.5609474e-07,1.8763542e-07,1.8763542e-07
76.75,35.63906,7,-542.4464760168172,210,74.58983945846558,16531,0.0,2.8334603,0.7134931087493896,0.012706501,0.017671293,0.017671293
75.975,35.01587,7,-531.5881529707664,217,77.50546789169312,17019,0.0,2.8334658,0.7199844121932983,0.008059726,0.011693914,0.011693914
75.85,34.519653,6,-551.0710881136982,223,80.49521398544312,17489,0.0,2.8334558,0.9237638413906097,7.71904e-06,4.245043e-07,4.245043e-07
74.625,32.41701,7,-541.0376666286636,230,83.35132026672363,17958,0.0,2.8335013,0.9455298148095608,4.8303605e-07,-4.7683715e-09,-4.7683715e-09
71.225,28.505512,8,-553.6352624132533,238,86.08888554573059,18500,0.0,2.8345654,0.8868014439940453,0.008638558,0.013555556,0.013555556
