iteration,total_reward,policy_loss,idm_loss
1 , 10.0 , 0.6938278 , 0.0001909039
2 , 10.0 , 0.69391394 , 2.0836931e-05
3 , 10.0 , 0.69397146 , 1.3672822e-05
4 , 10.0 , 0.69386977 , 1.0287437e-05
5 , 8.0 , 0.693873 , 1.6366579e-05
6 , 10.0 , 0.6938733 , 5.102066e-06
7 , 9.0 , 0.69382906 , 8.225412e-07
8 , 10.0 , 0.6938597 , 1.4781904e-06
9 , 8.0 , 0.69389457 , 4.7683662e-07
10 , 9.0 , 0.69384664 , 2.7418102e-07
11 , 10.0 , 0.69379485 , 5.8412434e-07
12 , 10.0 , 0.6939175 , 8.3446466e-08
13 , 9.0 , 0.69392186 , 2.3841856e-08
14 , 10.0 , 0.6938162 , 1.1920928e-08
15 , 8.0 , 0.69382286 , 1.1920928e-08
16 , 8.0 , 0.6939144 , 0.0
17 , 9.0 , 0.69391453 , 1.1920928e-08
18 , 9.0 , 0.69384927 , 0.0
19 , 9.0 , 0.6938635 , 0.0
20 , 10.0 , 0.69389176 , 0.0
21 , 9.0 , 0.6938763 , 0.0
22 , 8.0 , 0.6938288 , 0.0
23 , 10.0 , 0.69389504 , 0.0
24 , 9.0 , 0.69388217 , 0.0
25 , 10.0 , 0.69386876 , 0.0
