iteration,average_reward,feedback_rate
1 , -158.278413 , 0.181263
2 , -90.463784 , 0.077393
3 , -85.006668 , 0.132383
4 , -39.792843 , 0.156823
5 , -22.545143 , 0.050916
6 , -24.755824 , 0.103870
7 , -28.091066 , 0.067210
8 , -28.867039 , 0.038697
9 , -29.023014 , 0.046843
10 , -20.765622 , 0.054990
11 , -95.356310 , 0.063136
12 , -21.451093 , 0.030550
13 , -21.575058 , 0.000000
14 , -21.521696 , 0.000000
15 , -21.375247 , 0.000000
16 , -21.216501 , 0.000000
17 , -21.124133 , 0.000000
18 , -21.497977 , 0.000000
19 , -21.113108 , 0.000000
20 , -21.468294 , 0.000000
21 , -21.422808 , 0.000000
22 , -21.321660 , 0.000000
23 , -21.346792 , 0.000000
24 , -21.206439 , 0.000000
25 , -21.253191 , 0.000000
26 , -21.288862 , 0.000000
27 , -21.199050 , 0.000000
28 , -21.255294 , 0.000000
29 , -21.198565 , 0.000000
30 , -21.360181 , 0.000000
31 , -21.220197 , 0.000000
32 , -21.281989 , 0.000000
33 , -21.337722 , 0.000000
34 , -21.483781 , 0.000000
35 , -21.041159 , 0.000000
36 , -21.312208 , 0.000000
37 , -21.379160 , 0.000000
38 , -21.294567 , 0.000000
39 , -21.550288 , 0.000000
40 , -21.218358 , 0.000000
41 , -21.115148 , 0.000000
42 , -21.251309 , 0.000000
43 , -21.445443 , 0.000000
44 , -21.214747 , 0.000000
45 , -21.492442 , 0.000000
46 , -21.307836 , 0.000000
47 , -21.430307 , 0.000000
48 , -21.463812 , 0.000000
49 , -21.227510 , 0.000000
50 , -21.252927 , 0.000000
