iteration,reward,average_reward
0 , -16.4 ,   0.0
2 , 263.9 , 132.0
3 , 303.3 , 189.1
4 , 287.3 , 213.6
4 , -112.7 , 213.6
5 , -157.3 , 213.6
6 , -111.9 , 213.6
7 , -173.2 , 213.6
8 , -122.1 , 213.6
9 , -120.9 , 213.6
10 , -105.9 , 213.6
11 , -158.9 , 213.6
12 , -163.2 , 213.6
13 , -161.3 , 213.6
14 , -139.8 , 213.6
15 , -155.2 , 213.6
16 , -111.7 , 213.6
17 , -145.0 , 213.6
18 , -145.6 , 213.6
19 , -126.1 , 213.6
20 , -151.1 , 213.6
21 , -99.6 , 213.6
22 , -139.9 , 213.6
23 , -161.6 , 213.6
24 , -78.1 , 213.6
