iteration,total_reward,policy_loss,idm_loss
1 , -137.0 , 0.06381349 , 0.6364329
2 , -200.0 , 0.20875563 , 0.6231814
3 , -132.0 , 0.34133995 , 0.49692115
4 , -94.0 , 0.5361455 , 0.40062115
5 , -116.0 , 0.2619894 , 0.50763834
6 , -119.0 , 0.16838871 , 0.10117641
7 , -119.0 , 0.15924439 , 0.13595867
8 , -116.0 , 0.16981526 , 0.048573185
9 , -114.0 , 0.14255461 , 0.7405383
10 , -116.0 , 0.11665163 , 1.0051818
