iteration,reward,average_reward
1 ,  31.0 ,  31.0
2 , -293.3 , -131.2
3 , -24.2 , -95.5
4 , -49.9 , -84.1
5 , -94.2 , -86.1
6 , -47.4 , -79.7
7 , -27.7 , -72.3
8 , 245.7 , -32.5
9 , -118.0 , -42.0
10 , 252.0 , -12.6
11 , -28.6 , -14.1
12 , -304.3 , -38.3
13 , 300.5 , -12.2
14 , -102.1 , -18.6
15 , 229.9 ,  -2.0
16 , -19.9 ,  -3.2
17 ,  18.5 ,  -1.9
18 , 202.9 ,   9.5
