iteration,reward,average_reward
1 , -103.2 , -103.2
2 , -86.8 , -95.0
3 , -71.8 , -87.3
4 , -51.2 , -78.2
5 , -47.7 , -72.1
6 , -42.0 , -67.1
7 , -27.2 , -61.4
8 , -58.2 , -61.0
