iteration,average_reward,feedback_rate
1 , -97.821970 , 0.038697
2 , -131.013714 , 0.010183
3 , -141.128791 , 0.010183
4 , -121.183604 , 0.024440
5 , -31.755325 , 0.044807
6 , -33.076165 , 0.009217
7 , -33.498471 , 0.012220
8 , -60.099181 , 0.046843
9 , -151.996348 , 0.059063
10 , -39.492318 , 0.105906
11 , -46.351228 , 0.024440
12 , -11.238732 , 0.083700
13 , -10.479161 , 0.000000
14 , -12.379750 , 0.000000
15 , -12.583617 , 0.000000
16 , -12.465148 , 0.000000
17 , -12.561427 , 0.000000
18 , -12.269434 , 0.000000
19 , -12.343821 , 0.000000
20 , -12.649820 , 0.000000
21 , -12.506455 , 0.000000
22 , -12.285428 , 0.000000
23 , -12.509386 , 0.000000
24 , -12.449505 , 0.000000
25 , -12.123974 , 0.000000
26 , -12.516774 , 0.000000
27 , -12.259222 , 0.000000
28 , -12.425576 , 0.000000
29 , -12.388011 , 0.000000
30 , -12.150460 , 0.000000
31 , -12.283338 , 0.000000
32 , -12.414113 , 0.000000
33 , -12.522569 , 0.000000
34 , -12.406163 , 0.000000
35 , -12.503270 , 0.000000
36 , -12.222495 , 0.000000
37 , -12.488291 , 0.000000
38 , -12.397439 , 0.000000
39 , -12.363035 , 0.000000
40 , -12.456795 , 0.000000
41 , -12.840926 , 0.000000
42 , -12.604481 , 0.000000
43 , -12.139943 , 0.000000
44 , -12.460853 , 0.000000
45 , -12.432224 , 0.000000
46 , -12.335569 , 0.000000
47 , -12.482254 , 0.000000
48 , -12.645505 , 0.000000
49 , -12.325061 , 0.000000
50 , -12.557202 , 0.000000
