iteration,reward,average_reward
1 , -25.8 , -25.8
2 , -29.5 , -27.6
3 , -32.1 , -29.1
4 , -20.4 , -26.9
5 , -19.8 , -25.5
6 , -13.7 , -23.5
7 , -18.1 , -22.8
8 , -17.8 , -22.1
