iteration,reward,average_reward
1 , -67.4 , -67.4
2 , -42.5 , -55.0
3 , -47.2 , -52.4
4 , -60.2 , -54.3
5 , -52.6 , -54.0
6 , -35.6 , -50.9
7 , -38.8 , -49.2
8 , -57.4 , -50.2
