iteration,average_reward
1 , -91.697508
2 , -84.469003
3 , -84.482966
4 , -40.583002
5 , -30.006094
6 , -17.476007
7 , -36.670863
8 , -210.959842
9 , -78.498308
10 , -60.407974
11 , -789.570371
12 , -111.580949
13 , -177.144774
14 , -77.543245
15 , -114.026450
16 , -566.070322
17 , -539.823796
18 , -112.321468
19 , -112.784783
20 , -263.170666
21 , -111.559684
22 , -203.727236
23 , -101.164003
24 , -103.453003
25 , -92.522067
26 , -35.110462
