iteration,reward,average_reward
1 ,  60.0 ,  60.0
2 ,  71.0 ,  65.5
3 , 174.0 , 101.7
4 ,  43.0 ,  87.0
5 ,  38.0 ,  77.2
6 ,  64.0 ,  75.0
7 , 119.0 ,  81.3
8 ,  73.0 ,  80.2
9 ,  32.0 ,  74.9
10 ,  51.0 ,  72.5
11 , 121.0 ,  76.9
12 ,  74.0 ,  76.7
13 ,  62.0 ,  75.5
14 ,  29.0 ,  72.2
